#index,parent,depth,isLeaf,left,bottom,width,height
0,4294967295,0,0,0,0,0.661565,1
1,0,1,1,0,0,0.110659,0.0931111
2,0,1,1,0,0.0931111,0.112263,0.112569
3,0,1,1,0.112263,0.0931111,0.103853,0.112569
4,0,1,1,0.110659,0,0.105457,0.0931111
5,0,1,1,0,0.20568,0.0433092,0.154538
6,0,1,1,0,0.360218,0.100133,0.141596
7,0,1,1,0.100133,0.360218,0.0394935,0.141596
8,0,1,1,0.139627,0.360218,0.0321856,0.141596
9,0,1,1,0.0433092,0.20568,0.128503,0.154538
10,0,1,1,0.171812,0.20568,0.0408799,0.201421
11,0,1,1,0.212692,0.20568,0.0337751,0.201421
12,0,1,1,0.171812,0.4071,0.0811255,0.0947132
13,0,1,1,0.252938,0.4071,0.0785685,0.0947132
14,0,1,1,0.246467,0.20568,0.0850389,0.201421
15,0,1,1,0.216116,0,0.0636894,0.20568
16,0,1,1,0.279805,0,0.0517008,0.20568
17,0,1,1,0,0.501814,0.0730071,0.159526
18,0,1,1,0,0.66134,0.0731173,0.102979
19,0,1,1,0.0731173,0.66134,0.0966346,0.102979
20,0,1,1,0.0730071,0.501814,0.0411269,0.159526
21,0,1,1,0.114134,0.501814,0.0556179,0.159526
22,0,1,1,0,0.764319,0.058151,0.157121
23,0,1,1,0,0.92144,0.105933,0.0785603
24,0,1,1,0.105933,0.92144,0.084354,0.0785603
25,0,1,1,0.058151,0.764319,0.0985064,0.157121
26,0,1,1,0.156657,0.764319,0.0336295,0.157121
27,0,1,1,0.190287,0.764319,0.0859621,0.0804201
28,0,1,1,0.190287,0.844739,0.0859621,0.0509669
29,0,1,1,0.190287,0.895706,0.151146,0.104294
30,0,1,1,0.276249,0.764319,0.0651838,0.131387
31,0,1,1,0.169752,0.501814,0.0928828,0.173507
32,0,1,1,0.169752,0.675321,0.171681,0.0889979
33,0,1,1,0.262635,0.501814,0.0787981,0.173507
34,0,1,1,0.341433,0.501814,0.0905183,0.160041
35,0,1,1,0.341433,0.661855,0.178698,0.099918
36,0,1,1,0.431951,0.501814,0.0881797,0.160041
37,0,1,1,0.341433,0.761773,0.0632798,0.11203
38,0,1,1,0.341433,0.873803,0.0832167,0.126197
39,0,1,1,0.424649,0.873803,0.0846123,0.126197
40,0,1,1,0.404713,0.761773,0.0461824,0.11203
41,0,1,1,0.450895,0.761773,0.0583667,0.11203
42,0,1,1,0.509262,0.761773,0.0759587,0.114199
43,0,1,1,0.509262,0.875972,0.0843169,0.124028
44,0,1,1,0.593579,0.875972,0.067986,0.124028
45,0,1,1,0.58522,0.761773,0.0763443,0.114199
46,0,1,1,0.520131,0.501814,0.0809604,0.104152
47,0,1,1,0.520131,0.605966,0.0809604,0.074239
48,0,1,1,0.520131,0.680205,0.141434,0.081568
49,0,1,1,0.601091,0.501814,0.0604735,0.178391
50,0,1,1,0.331506,0,0.111089,0.160134
51,0,1,1,0.331506,0.160134,0.168283,0.0834686
52,0,1,1,0.442595,0,0.0571941,0.160134
53,0,1,1,0.331506,0.243603,0.0955933,0.174576
54,0,1,1,0.331506,0.418179,0.174792,0.0836351
55,0,1,1,0.4271,0.243603,0.0791987,0.174576
56,0,1,1,0.506298,0.243603,0.0512005,0.15867
57,0,1,1,0.506298,0.402273,0.155266,0.0995409
58,0,1,1,0.557499,0.243603,0.104066,0.15867
59,0,1,1,0.499789,0,0.111193,0.149292
60,0,1,1,0.499789,0.149292,0.0973455,0.094311
61,0,1,1,0.597135,0.149292,0.0644301,0.094311
62,0,1,1,0.610982,0,0.0505825,0.149292
