#index,parent,depth,isLeaf,left,bottom,width,height
0,4294967295,0,0,0,0,0.661565,1
1,0,1,1,0,0,0.102039,0.0944297
2,0,1,1,0,0.0944297,0.116331,0.114585
3,0,1,1,0.116331,0.0944297,0.0980421,0.114585
4,0,1,1,0.102039,0,0.112334,0.0944297
5,0,1,1,0,0.209015,0.0491105,0.14737
6,0,1,1,0,0.356385,0.0896006,0.146358
7,0,1,1,0.0896006,0.356385,0.0435456,0.146358
8,0,1,1,0.133146,0.356385,0.0376411,0.146358
9,0,1,1,0.0491105,0.209015,0.121677,0.14737
10,0,1,1,0.170787,0.209015,0.0468053,0.192016
11,0,1,1,0.170787,0.401031,0.0745544,0.101712
12,0,1,1,0.245342,0.401031,0.0826258,0.101712
13,0,1,1,0.217593,0.209015,0.0387044,0.192016
14,0,1,1,0.256297,0.209015,0.0716706,0.192016
15,0,1,1,0.214373,0,0.0618105,0.209015
16,0,1,1,0.276183,0,0.0517844,0.209015
17,0,1,1,0,0.502743,0.0884296,0.144143
18,0,1,1,0,0.646886,0.0618559,0.130277
19,0,1,1,0.0618559,0.646886,0.0721375,0.130277
20,0,1,1,0.0884296,0.502743,0.0455637,0.144143
21,0,1,1,0,0.777163,0.112005,0.110331
22,0,1,1,0,0.887493,0.0833394,0.112507
23,0,1,1,0.0833394,0.887493,0.0854517,0.112507
24,0,1,1,0.112005,0.777163,0.0567859,0.110331
25,0,1,1,0.168791,0.777163,0.11876,0.139892
26,0,1,1,0.168791,0.917055,0.0658975,0.082945
27,0,1,1,0.234689,0.917055,0.0911625,0.082945
28,0,1,1,0.287551,0.777163,0.0382998,0.139892
29,0,1,1,0.133993,0.502743,0.0971253,0.153481
30,0,1,1,0.133993,0.656224,0.0714554,0.120938
31,0,1,1,0.205449,0.656224,0.120402,0.120938
32,0,1,1,0.231119,0.502743,0.0947324,0.153481
33,0,1,1,0.325851,0.502743,0.0776001,0.167321
34,0,1,1,0.325851,0.670064,0.171598,0.0896409
35,0,1,1,0.403451,0.502743,0.0939981,0.167321
36,0,1,1,0.325851,0.759705,0.0917569,0.13609
37,0,1,1,0.325851,0.895796,0.0634417,0.104204
38,0,1,1,0.389293,0.895796,0.105943,0.104204
39,0,1,1,0.417608,0.759705,0.0776283,0.13609
40,0,1,1,0.495236,0.759705,0.0461191,0.129759
41,0,1,1,0.541355,0.759705,0.0427892,0.129759
42,0,1,1,0.495236,0.889464,0.0773984,0.110536
43,0,1,1,0.572635,0.889464,0.08893,0.110536
44,0,1,1,0.584145,0.759705,0.0774201,0.129759
45,0,1,1,0.497449,0.502743,0.0381752,0.170343
46,0,1,1,0.497449,0.673086,0.0947779,0.0866194
47,0,1,1,0.592227,0.673086,0.0693375,0.0866194
48,0,1,1,0.535624,0.502743,0.0672188,0.170343
49,0,1,1,0.602843,0.502743,0.0587213,0.170343
50,0,1,1,0.327968,0,0.116636,0.151146
51,0,1,1,0.327968,0.151146,0.168522,0.0933285
52,0,1,1,0.444604,0,0.0518858,0.151146
53,0,1,1,0.327968,0.244474,0.0853142,0.168146
54,0,1,1,0.327968,0.41262,0.171399,0.090123
55,0,1,1,0.413282,0.244474,0.0860851,0.168146
56,0,1,1,0.499367,0.244474,0.0550655,0.158504
57,0,1,1,0.499367,0.402979,0.162198,0.0997644
58,0,1,1,0.554432,0.244474,0.107132,0.158504
59,0,1,1,0.496489,0,0.119863,0.153385
60,0,1,1,0.496489,0.153385,0.105544,0.091089
61,0,1,1,0.602033,0.153385,0.0595315,0.091089
62,0,1,1,0.616352,0,0.0452126,0.153385
