#index,parent,depth,isLeaf,left,bottom,width,height
0,4294967295,0,0,0,0,0.661565,1
1,0,1,1,0,0,0.0418049,0.163179
2,0,1,1,0,0.163179,0.138093,0.107504
3,0,1,1,0.0418049,0.0606842,0.0962883,0.102495
4,0,1,1,0.0418049,0,0.0962883,0.0606842
5,0,1,1,0,0.270683,0.0568305,0.107737
6,0,1,1,0,0.378421,0.160631,0.129841
7,0,1,1,0.0568305,0.31701,0.1038,0.0614101
8,0,1,1,0.0568305,0.270683,0.1038,0.0463269
9,0,1,1,0.160631,0.270683,0.108893,0.185884
10,0,1,1,0.160631,0.456567,0.155217,0.0516945
11,0,1,1,0.269523,0.270683,0.0463246,0.185884
12,0,1,1,0.138093,0,0.0875384,0.0846349
13,0,1,1,0.138093,0.0846349,0.0875384,0.0823993
14,0,1,1,0.138093,0.167034,0.177755,0.103649
15,0,1,1,0.225632,0,0.0902165,0.167034
16,0,1,1,0,0.508262,0.0502322,0.193687
17,0,1,1,0,0.701948,0.152573,0.0929036
18,0,1,1,0.0502322,0.614803,0.102341,0.0871453
19,0,1,1,0.0502322,0.508262,0.102341,0.106541
20,0,1,1,0,0.794852,0.0462769,0.100287
21,0,1,1,0,0.895139,0.0794523,0.104861
22,0,1,1,0.0794523,0.895139,0.0917167,0.104861
23,0,1,1,0.0462769,0.794852,0.0632823,0.100287
24,0,1,1,0.109559,0.794852,0.0616097,0.100287
25,0,1,1,0.171169,0.794852,0.129366,0.136368
26,0,1,1,0.171169,0.93122,0.0695084,0.0687799
27,0,1,1,0.240677,0.93122,0.0947102,0.0687799
28,0,1,1,0.300535,0.794852,0.0348529,0.136368
29,0,1,1,0.152573,0.508262,0.103113,0.168376
30,0,1,1,0.152573,0.676637,0.0603075,0.118215
31,0,1,1,0.212881,0.676637,0.122507,0.118215
32,0,1,1,0.255686,0.508262,0.0797012,0.168376
33,0,1,1,0.335388,0.508262,0.0648079,0.248483
34,0,1,1,0.400195,0.508262,0.0616575,0.248483
35,0,1,1,0.335388,0.756745,0.0797628,0.243255
36,0,1,1,0.41515,0.756745,0.0755103,0.243255
37,0,1,1,0.490661,0.756745,0.0591696,0.101588
38,0,1,1,0.490661,0.858333,0.0779527,0.141667
39,0,1,1,0.568613,0.858333,0.0929512,0.141667
40,0,1,1,0.54983,0.756745,0.050363,0.101588
41,0,1,1,0.600193,0.756745,0.0613713,0.101588
42,0,1,1,0.461853,0.508262,0.0592331,0.139711
43,0,1,1,0.521086,0.508262,0.0516289,0.139711
44,0,1,1,0.461853,0.647972,0.0573175,0.108773
45,0,1,1,0.51917,0.647972,0.0575745,0.108773
46,0,1,1,0.576745,0.647972,0.0848197,0.108773
47,0,1,1,0.572715,0.508262,0.0480269,0.139711
48,0,1,1,0.620742,0.508262,0.0408228,0.139711
49,0,1,1,0.315848,0,0.0725549,0.166849
50,0,1,1,0.315848,0.166849,0.145277,0.104305
51,0,1,1,0.388403,0,0.0727224,0.166849
52,0,1,1,0.315848,0.271154,0.0846917,0.135016
53,0,1,1,0.315848,0.40617,0.193611,0.102092
54,0,1,1,0.40054,0.271154,0.108919,0.135016
55,0,1,1,0.509459,0.271154,0.0635283,0.185275
56,0,1,1,0.509459,0.456429,0.152106,0.0518329
57,0,1,1,0.572987,0.271154,0.0885775,0.185275
58,0,1,1,0.461125,0,0.136982,0.119397
59,0,1,1,0.461125,0.119397,0.107589,0.151757
60,0,1,1,0.568714,0.119397,0.048636,0.151757
61,0,1,1,0.61735,0.119397,0.0442146,0.151757
62,0,1,1,0.598108,0,0.0634568,0.119397
