#index,parent,depth,isLeaf,left,bottom,width,height
0,4294967295,0,0,0,0,0.661565,1
1,0,1,1,0,0,0.0753196,0.170017
2,0,1,1,0,0.170017,0.17922,0.0654973
3,0,1,1,0.0753196,0,0.103901,0.170017
4,0,1,1,0,0.235514,0.101701,0.114859
5,0,1,1,0,0.350373,0.0892007,0.138005
6,0,1,1,0.0892007,0.350373,0.0853344,0.138005
7,0,1,1,0.101701,0.235514,0.0728335,0.114859
8,0,1,1,0.174535,0.235514,0.0781826,0.1031
9,0,1,1,0.174535,0.338614,0.0833425,0.149763
10,0,1,1,0.257877,0.338614,0.080416,0.149763
11,0,1,1,0.252718,0.235514,0.0855758,0.1031
12,0,1,1,0.17922,0,0.0704694,0.119793
13,0,1,1,0.17922,0.119793,0.0820067,0.11572
14,0,1,1,0.261227,0.119793,0.0770665,0.11572
15,0,1,1,0.24969,0,0.0886038,0.119793
16,0,1,1,0,0.488377,0.0640804,0.154933
17,0,1,1,0,0.64331,0.0789663,0.0834958
18,0,1,1,0.0789663,0.64331,0.0664138,0.0834958
19,0,1,1,0.0640804,0.488377,0.0432942,0.154933
20,0,1,1,0.107375,0.488377,0.0380054,0.154933
21,0,1,1,0,0.726806,0.0914986,0.177858
22,0,1,1,0,0.904664,0.148712,0.0953361
23,0,1,1,0.0914986,0.726806,0.0572134,0.177858
24,0,1,1,0.148712,0.726806,0.0805387,0.143856
25,0,1,1,0.148712,0.870662,0.101072,0.129338
26,0,1,1,0.249783,0.870662,0.0708679,0.129338
27,0,1,1,0.229251,0.726806,0.0914008,0.143856
28,0,1,1,0.14538,0.488377,0.0484258,0.113724
29,0,1,1,0.14538,0.602101,0.0864896,0.124705
30,0,1,1,0.23187,0.602101,0.0887817,0.124705
31,0,1,1,0.193806,0.488377,0.126845,0.113724
32,0,1,1,0.320651,0.488377,0.0816625,0.0651046
33,0,1,1,0.320651,0.553482,0.10457,0.175307
34,0,1,1,0.425221,0.553482,0.067829,0.175307
35,0,1,1,0.402314,0.488377,0.0907361,0.0651046
36,0,1,1,0.320651,0.728789,0.048914,0.183492
37,0,1,1,0.320651,0.912282,0.116658,0.0877183
38,0,1,1,0.437309,0.912282,0.0536583,0.0877183
39,0,1,1,0.369565,0.728789,0.0780962,0.183492
40,0,1,1,0.447662,0.728789,0.043306,0.183492
41,0,1,1,0.490968,0.728789,0.0910129,0.0609285
42,0,1,1,0.490968,0.789718,0.0910129,0.122485
43,0,1,1,0.490968,0.912203,0.170597,0.0877972
44,0,1,1,0.58198,0.728789,0.0795843,0.183414
45,0,1,1,0.49305,0.488377,0.029849,0.151303
46,0,1,1,0.49305,0.639681,0.0767725,0.0891084
47,0,1,1,0.569823,0.639681,0.0917421,0.0891084
48,0,1,1,0.522899,0.488377,0.138666,0.151303
49,0,1,1,0.338293,0,0.071284,0.0553361
50,0,1,1,0.338293,0.0553361,0.0717563,0.168899
51,0,1,1,0.41005,0.0553361,0.112824,0.168899
52,0,1,1,0.409577,0,0.113297,0.0553361
53,0,1,1,0.338293,0.224235,0.0490781,0.1623
54,0,1,1,0.338293,0.386535,0.0838263,0.101842
55,0,1,1,0.42212,0.386535,0.0810196,0.101842
56,0,1,1,0.387372,0.224235,0.0610541,0.1623
57,0,1,1,0.448426,0.224235,0.0547138,0.1623
58,0,1,1,0.503139,0.224235,0.0818819,0.264142
59,0,1,1,0.585021,0.224235,0.0765434,0.264142
60,0,1,1,0.522874,0,0.0842718,0.172985
61,0,1,1,0.522874,0.172985,0.13869,0.0512498
62,0,1,1,0.607146,0,0.0544187,0.172985
