#index,parent,depth,isLeaf,left,bottom,width,height
0,4294967295,0,0,0,0,0.661565,1
1,0,1,1,0,0,0.0717544,0.171032
2,0,1,1,0,0.171032,0.15923,0.0907117
3,0,1,1,0.0717544,0,0.0874758,0.171032
4,0,1,1,0,0.261743,0.108755,0.103334
5,0,1,1,0,0.365077,0.0723728,0.129321
6,0,1,1,0.0723728,0.365077,0.0960972,0.129321
7,0,1,1,0.108755,0.261743,0.0597151,0.103334
8,0,1,1,0.16847,0.261743,0.0643672,0.103899
9,0,1,1,0.16847,0.365643,0.165729,0.128756
10,0,1,1,0.232837,0.261743,0.101362,0.103899
11,0,1,1,0.15923,0,0.0427054,0.153775
12,0,1,1,0.201936,0,0.0553713,0.153775
13,0,1,1,0.15923,0.153775,0.063059,0.107968
14,0,1,1,0.222289,0.153775,0.11191,0.107968
15,0,1,1,0.257307,0,0.0768921,0.153775
16,0,1,1,0,0.494398,0.0749034,0.153026
17,0,1,1,0,0.647424,0.164675,0.0911665
18,0,1,1,0.0749034,0.579647,0.0897715,0.0677768
19,0,1,1,0.0749034,0.494398,0.0897715,0.085249
20,0,1,1,0,0.738591,0.0756034,0.115816
21,0,1,1,0,0.854406,0.0960114,0.145594
22,0,1,1,0.0960114,0.854406,0.0660597,0.145594
23,0,1,1,0.0756034,0.738591,0.0864677,0.115816
24,0,1,1,0.162071,0.738591,0.0611636,0.138931
25,0,1,1,0.162071,0.877522,0.106954,0.122478
26,0,1,1,0.269025,0.877522,0.0533364,0.122478
27,0,1,1,0.223235,0.738591,0.0604192,0.138931
28,0,1,1,0.283654,0.738591,0.038708,0.138931
29,0,1,1,0.164675,0.494398,0.0710766,0.19085
30,0,1,1,0.164675,0.685249,0.157687,0.0533419
31,0,1,1,0.235751,0.494398,0.0866104,0.19085
32,0,1,1,0.322362,0.494398,0.0699688,0.100508
33,0,1,1,0.322362,0.594906,0.108456,0.142079
34,0,1,1,0.430817,0.594906,0.0880746,0.142079
35,0,1,1,0.392331,0.494398,0.126561,0.100508
36,0,1,1,0.322362,0.736986,0.063292,0.163671
37,0,1,1,0.322362,0.900656,0.0761672,0.0993439
38,0,1,1,0.398529,0.900656,0.0808517,0.0993439
39,0,1,1,0.385654,0.736986,0.0937269,0.163671
40,0,1,1,0.479381,0.736986,0.0550562,0.14182
41,0,1,1,0.534437,0.736986,0.0367041,0.14182
42,0,1,1,0.479381,0.878805,0.0861853,0.121195
43,0,1,1,0.565566,0.878805,0.0959985,0.121195
44,0,1,1,0.571141,0.736986,0.0904235,0.14182
45,0,1,1,0.518892,0.494398,0.0364918,0.136032
46,0,1,1,0.518892,0.630431,0.0778067,0.106555
47,0,1,1,0.596699,0.630431,0.0648659,0.106555
48,0,1,1,0.555384,0.494398,0.106181,0.136032
49,0,1,1,0.334199,0,0.0451589,0.169848
50,0,1,1,0.334199,0.169848,0.154149,0.0760347
51,0,1,1,0.379358,0,0.10899,0.169848
52,0,1,1,0.334199,0.245883,0.0656214,0.10953
53,0,1,1,0.334199,0.355413,0.0693248,0.138985
54,0,1,1,0.403524,0.355413,0.0845787,0.138985
55,0,1,1,0.39982,0.245883,0.0882821,0.10953
56,0,1,1,0.488102,0.245883,0.0541348,0.179257
57,0,1,1,0.488102,0.42514,0.173462,0.0692584
58,0,1,1,0.542237,0.245883,0.119327,0.179257
59,0,1,1,0.488348,0,0.102276,0.177123
60,0,1,1,0.488348,0.177123,0.173216,0.0687597
61,0,1,1,0.590624,0.0945143,0.0709409,0.0826089
62,0,1,1,0.590624,0,0.0709409,0.0945143
