#index,parent,depth,isLeaf,left,bottom,width,height
0,4294967295,0,0,0,0,0.661565,1
1,0,1,1,0,0,0.10881,0.0936945
2,0,1,1,0,0.0936945,0.117286,0.116267
3,0,1,1,0.117286,0.0936945,0.105185,0.116267
4,0,1,1,0.10881,0,0.113661,0.0936945
5,0,1,1,0,0.209961,0.0446512,0.157548
6,0,1,1,0,0.367509,0.0919726,0.140736
7,0,1,1,0.0919726,0.367509,0.0422951,0.140736
8,0,1,1,0.134268,0.367509,0.0356817,0.140736
9,0,1,1,0.0446512,0.209961,0.125298,0.157548
10,0,1,1,0.169949,0.209961,0.0643207,0.148069
11,0,1,1,0.169949,0.35803,0.0459664,0.150215
12,0,1,1,0.215916,0.35803,0.0608082,0.150215
13,0,1,1,0.276724,0.35803,0.0546121,0.150215
14,0,1,1,0.23427,0.209961,0.0970658,0.148069
15,0,1,1,0.222471,0,0.0624734,0.209961
16,0,1,1,0.284945,0,0.0463912,0.209961
17,0,1,1,0,0.508245,0.0828633,0.137922
18,0,1,1,0,0.646167,0.0566209,0.142592
19,0,1,1,0.0566209,0.646167,0.073167,0.142592
20,0,1,1,0.0828633,0.508245,0.0469245,0.137922
21,0,1,1,0,0.788759,0.106569,0.102977
22,0,1,1,0,0.891736,0.0929672,0.108264
23,0,1,1,0.0929672,0.891736,0.0789721,0.108264
24,0,1,1,0.106569,0.788759,0.0653706,0.102977
25,0,1,1,0.171939,0.788759,0.120873,0.138066
26,0,1,1,0.171939,0.926825,0.0680341,0.0731751
27,0,1,1,0.239973,0.926825,0.0887401,0.0731751
28,0,1,1,0.292812,0.788759,0.0359013,0.138066
29,0,1,1,0.129788,0.508245,0.0986961,0.155273
30,0,1,1,0.129788,0.663518,0.071551,0.125241
31,0,1,1,0.201339,0.663518,0.127375,0.125241
32,0,1,1,0.228484,0.508245,0.10023,0.155273
33,0,1,1,0.328714,0.508245,0.0741846,0.162227
34,0,1,1,0.328714,0.670472,0.166382,0.0837805
35,0,1,1,0.402898,0.508245,0.092197,0.162227
36,0,1,1,0.328714,0.754253,0.0940147,0.139291
37,0,1,1,0.328714,0.893543,0.0599805,0.106457
38,0,1,1,0.388694,0.893543,0.111421,0.106457
39,0,1,1,0.422728,0.754253,0.0773873,0.139291
40,0,1,1,0.500116,0.754253,0.0388867,0.124684
41,0,1,1,0.539002,0.754253,0.0456571,0.124684
42,0,1,1,0.500116,0.878936,0.070444,0.121064
43,0,1,1,0.57056,0.878936,0.0910051,0.121064
44,0,1,1,0.584659,0.754253,0.0769053,0.124684
45,0,1,1,0.495095,0.508245,0.0784948,0.114162
46,0,1,1,0.495095,0.622407,0.0704294,0.131845
47,0,1,1,0.565525,0.622407,0.0438337,0.131845
48,0,1,1,0.609358,0.622407,0.0522064,0.131845
49,0,1,1,0.57359,0.508245,0.0879748,0.114162
50,0,1,1,0.331336,0,0.110445,0.14581
51,0,1,1,0.331336,0.14581,0.161956,0.0940885
52,0,1,1,0.441781,0,0.0515113,0.14581
53,0,1,1,0.331336,0.239899,0.094694,0.183322
54,0,1,1,0.331336,0.423221,0.172858,0.0850242
55,0,1,1,0.42603,0.239899,0.0781639,0.183322
56,0,1,1,0.504194,0.239899,0.0519175,0.160512
57,0,1,1,0.504194,0.400411,0.157371,0.107834
58,0,1,1,0.556111,0.239899,0.105453,0.160512
59,0,1,1,0.493292,0,0.117268,0.153201
60,0,1,1,0.493292,0.153201,0.104359,0.0866981
61,0,1,1,0.597651,0.153201,0.0639135,0.0866981
62,0,1,1,0.61056,0,0.0510044,0.153201
