#index,parent,depth,isLeaf,left,bottom,width,height
0,4294967295,0,0,0,0,0.661565,1
1,0,1,1,0,0,0.0673622,0.197893
2,0,1,1,0,0.197893,0.150269,0.0685744
3,0,1,1,0.0673622,0,0.0829073,0.197893
4,0,1,1,0,0.266467,0.0922981,0.173933
5,0,1,1,0,0.4404,0.162561,0.0639066
6,0,1,1,0.0922981,0.266467,0.0702625,0.173933
7,0,1,1,0.162561,0.266467,0.0696127,0.10263
8,0,1,1,0.162561,0.369097,0.0512224,0.13521
9,0,1,1,0.213783,0.369097,0.113883,0.13521
10,0,1,1,0.232173,0.266467,0.0954923,0.10263
11,0,1,1,0.150269,0,0.0475109,0.152849
12,0,1,1,0.19778,0,0.057739,0.152849
13,0,1,1,0.150269,0.152849,0.0619925,0.113618
14,0,1,1,0.212262,0.152849,0.115404,0.113618
15,0,1,1,0.255519,0,0.0721463,0.152849
16,0,1,1,0,0.504307,0.0934787,0.11527
17,0,1,1,0,0.619577,0.0839922,0.134294
18,0,1,1,0.0839922,0.619577,0.0388042,0.134294
19,0,1,1,0.122796,0.619577,0.0557028,0.134294
20,0,1,1,0.0934787,0.504307,0.0850204,0.11527
21,0,1,1,0,0.753871,0.111129,0.131753
22,0,1,1,0,0.885625,0.106115,0.114376
23,0,1,1,0.106115,0.885625,0.083481,0.114376
24,0,1,1,0.111129,0.753871,0.0784667,0.131753
25,0,1,1,0.189596,0.753871,0.109908,0.121135
26,0,1,1,0.189596,0.875006,0.0589055,0.124994
27,0,1,1,0.248501,0.875006,0.0891651,0.124994
28,0,1,1,0.299504,0.753871,0.0381625,0.121135
29,0,1,1,0.178499,0.504307,0.0810017,0.189681
30,0,1,1,0.178499,0.693988,0.159167,0.0598827
31,0,1,1,0.259501,0.504307,0.0781657,0.189681
32,0,1,1,0.337667,0.504307,0.0766892,0.0714589
33,0,1,1,0.337667,0.575766,0.103948,0.167539
34,0,1,1,0.441615,0.575766,0.0708373,0.167539
35,0,1,1,0.414356,0.504307,0.0980963,0.0714589
36,0,1,1,0.337667,0.743305,0.0595594,0.167088
37,0,1,1,0.337667,0.910392,0.100177,0.0896078
38,0,1,1,0.437843,0.910392,0.067535,0.0896078
39,0,1,1,0.397226,0.743305,0.108153,0.167088
40,0,1,1,0.505378,0.743305,0.071949,0.120091
41,0,1,1,0.505378,0.863396,0.071949,0.0686903
42,0,1,1,0.505378,0.932086,0.156186,0.067914
43,0,1,1,0.577327,0.743305,0.0842373,0.188781
44,0,1,1,0.512452,0.504307,0.100817,0.139227
45,0,1,1,0.512452,0.643534,0.0512206,0.0997702
46,0,1,1,0.563673,0.643534,0.0978921,0.0997702
47,0,1,1,0.613269,0.504307,0.0482956,0.139227
48,0,1,1,0.327666,0,0.0857184,0.208268
49,0,1,1,0.327666,0.208268,0.141169,0.0342946
50,0,1,1,0.413384,0,0.0554506,0.208268
51,0,1,1,0.327666,0.242563,0.107486,0.174849
52,0,1,1,0.327666,0.417411,0.0512649,0.0868957
53,0,1,1,0.378931,0.417411,0.107753,0.0868957
54,0,1,1,0.435152,0.242563,0.0515318,0.174849
55,0,1,1,0.486684,0.242563,0.0545578,0.158988
56,0,1,1,0.486684,0.401551,0.0768888,0.102756
57,0,1,1,0.563572,0.401551,0.0979923,0.102756
58,0,1,1,0.541241,0.242563,0.120323,0.158988
59,0,1,1,0.468835,0,0.113359,0.172611
60,0,1,1,0.468835,0.172611,0.19273,0.0699516
61,0,1,1,0.582194,0.100813,0.0793709,0.0717978
62,0,1,1,0.582194,0,0.0793709,0.100813
