#index,parent,depth,isLeaf,left,bottom,width,height
0,4294967295,0,0,0,0,0.661565,1
1,0,1,1,0,0,0.0795897,0.164285
2,0,1,1,0,0.164285,0.166489,0.0791086
3,0,1,1,0.0795897,0,0.0868989,0.164285
4,0,1,1,0,0.243394,0.109867,0.10704
5,0,1,1,0,0.350434,0.0622446,0.135348
6,0,1,1,0.0622446,0.350434,0.10407,0.135348
7,0,1,1,0.109867,0.243394,0.0564471,0.10704
8,0,1,1,0.166314,0.243394,0.0739924,0.0713547
9,0,1,1,0.166314,0.314748,0.114785,0.171033
10,0,1,1,0.281099,0.314748,0.0601787,0.171033
11,0,1,1,0.240306,0.243394,0.100972,0.0713547
12,0,1,1,0.166489,0,0.0745897,0.11908
13,0,1,1,0.166489,0.11908,0.0601031,0.124314
14,0,1,1,0.226592,0.11908,0.114686,0.124314
15,0,1,1,0.241078,0,0.1002,0.11908
16,0,1,1,0,0.485782,0.0720089,0.182903
17,0,1,1,0,0.668685,0.151521,0.0830235
18,0,1,1,0.0720089,0.587901,0.0795121,0.0807843
19,0,1,1,0.0720089,0.485782,0.0795121,0.102119
20,0,1,1,0,0.751709,0.0771433,0.109208
21,0,1,1,0,0.860917,0.0971631,0.139083
22,0,1,1,0.0971631,0.860917,0.0731806,0.139083
23,0,1,1,0.0771433,0.751709,0.0932003,0.109208
24,0,1,1,0.170344,0.751709,0.0551811,0.132639
25,0,1,1,0.170344,0.884348,0.109432,0.115652
26,0,1,1,0.279775,0.884348,0.0487828,0.115652
27,0,1,1,0.225525,0.751709,0.0645217,0.132639
28,0,1,1,0.290047,0.751709,0.0385118,0.132639
29,0,1,1,0.151521,0.485782,0.105387,0.123166
30,0,1,1,0.151521,0.608948,0.0592795,0.142761
31,0,1,1,0.2108,0.608948,0.117758,0.142761
32,0,1,1,0.256908,0.485782,0.0716506,0.123166
33,0,1,1,0.328558,0.485782,0.0831287,0.15752
34,0,1,1,0.328558,0.643302,0.180657,0.082189
35,0,1,1,0.411687,0.485782,0.097528,0.15752
36,0,1,1,0.328558,0.725491,0.0730231,0.156089
37,0,1,1,0.328558,0.881579,0.0634161,0.118421
38,0,1,1,0.391974,0.881579,0.0914221,0.118421
39,0,1,1,0.401581,0.725491,0.0818151,0.156089
40,0,1,1,0.483397,0.725491,0.0553153,0.151269
41,0,1,1,0.538712,0.725491,0.0390609,0.151269
42,0,1,1,0.483397,0.87676,0.0816604,0.12324
43,0,1,1,0.565057,0.87676,0.0965077,0.12324
44,0,1,1,0.577773,0.725491,0.0837919,0.151269
45,0,1,1,0.509215,0.485782,0.0464316,0.141623
46,0,1,1,0.509215,0.627405,0.0932752,0.0980855
47,0,1,1,0.60249,0.627405,0.0590743,0.0980855
48,0,1,1,0.555647,0.485782,0.105918,0.141623
49,0,1,1,0.341278,0,0.0554389,0.172591
50,0,1,1,0.341278,0.172591,0.151739,0.0723527
51,0,1,1,0.396717,0,0.0963003,0.172591
52,0,1,1,0.341278,0.244944,0.062121,0.100946
53,0,1,1,0.341278,0.34589,0.0720763,0.139892
54,0,1,1,0.413354,0.34589,0.08502,0.139892
55,0,1,1,0.403399,0.244944,0.0949753,0.100946
56,0,1,1,0.498374,0.244944,0.0558313,0.163868
57,0,1,1,0.498374,0.408812,0.16319,0.07697
58,0,1,1,0.554206,0.244944,0.107359,0.163868
59,0,1,1,0.493017,0,0.120738,0.141131
60,0,1,1,0.493017,0.141131,0.104286,0.103813
61,0,1,1,0.597304,0.141131,0.064261,0.103813
62,0,1,1,0.613756,0,0.0478091,0.141131
