#index,parent,depth,isLeaf,left,bottom,width,height
0,4294967295,0,0,0,0,0.661565,1
1,0,1,1,0,0,0.0766166,0.0965802
2,0,1,1,0,0.0965802,0.0870728,0.171162
3,0,1,1,0.0870728,0.0965802,0.0586067,0.171162
4,0,1,1,0.0766166,0,0.0690628,0.0965802
5,0,1,1,0,0.267742,0.0568494,0.110454
6,0,1,1,0,0.378196,0.163472,0.133087
7,0,1,1,0.0568494,0.310751,0.106622,0.0674457
8,0,1,1,0.0568494,0.267742,0.106622,0.0430088
9,0,1,1,0.163472,0.267742,0.116914,0.192549
10,0,1,1,0.163472,0.46029,0.157374,0.0509931
11,0,1,1,0.280385,0.267742,0.0404597,0.192549
12,0,1,1,0.145679,0,0.0872017,0.0932228
13,0,1,1,0.145679,0.0932228,0.0872017,0.0776857
14,0,1,1,0.145679,0.170908,0.175166,0.0968333
15,0,1,1,0.232881,0,0.087964,0.170908
16,0,1,1,0,0.511284,0.0872633,0.119731
17,0,1,1,0,0.631014,0.113825,0.12338
18,0,1,1,0.113825,0.631014,0.0718003,0.12338
19,0,1,1,0.0872633,0.511284,0.0983616,0.119731
20,0,1,1,0,0.754394,0.0694946,0.0708603
21,0,1,1,0,0.825254,0.0694946,0.112477
22,0,1,1,0,0.937731,0.142684,0.0622688
23,0,1,1,0.0694946,0.754394,0.0397924,0.183337
24,0,1,1,0.109287,0.754394,0.0333972,0.183337
25,0,1,1,0.142684,0.754394,0.0968249,0.156344
26,0,1,1,0.142684,0.910738,0.0522493,0.0892617
27,0,1,1,0.194934,0.910738,0.0732657,0.0892617
28,0,1,1,0.268199,0.910738,0.0659684,0.0892617
29,0,1,1,0.239509,0.754394,0.0946585,0.156344
30,0,1,1,0.185625,0.511284,0.0507678,0.13857
31,0,1,1,0.185625,0.649853,0.148543,0.104541
32,0,1,1,0.236393,0.511284,0.097775,0.13857
33,0,1,1,0.334168,0.511284,0.0631468,0.247979
34,0,1,1,0.397315,0.511284,0.060415,0.247979
35,0,1,1,0.334168,0.759263,0.084095,0.240737
36,0,1,1,0.418263,0.759263,0.0733802,0.240737
37,0,1,1,0.491643,0.759263,0.0589577,0.101202
38,0,1,1,0.491643,0.860464,0.0787989,0.139536
39,0,1,1,0.570442,0.860464,0.0911228,0.139536
40,0,1,1,0.550601,0.759263,0.047887,0.101202
41,0,1,1,0.598488,0.759263,0.063077,0.101202
42,0,1,1,0.45773,0.511284,0.0713673,0.104049
43,0,1,1,0.529097,0.511284,0.0713673,0.104049
44,0,1,1,0.45773,0.615333,0.0497821,0.14393
45,0,1,1,0.507512,0.615333,0.0452564,0.14393
46,0,1,1,0.552768,0.615333,0.0660744,0.14393
47,0,1,1,0.618843,0.615333,0.0427221,0.14393
48,0,1,1,0.600464,0.511284,0.0611004,0.104049
49,0,1,1,0.320845,0,0.0707968,0.165612
50,0,1,1,0.320845,0.165612,0.141751,0.106242
51,0,1,1,0.391642,0,0.0709541,0.165612
52,0,1,1,0.320845,0.271854,0.081285,0.148731
53,0,1,1,0.320845,0.420584,0.189023,0.0906994
54,0,1,1,0.40213,0.271854,0.107738,0.148731
55,0,1,1,0.509868,0.271854,0.0635469,0.198036
56,0,1,1,0.509868,0.46989,0.151697,0.0413936
57,0,1,1,0.573415,0.271854,0.08815,0.198036
58,0,1,1,0.462596,0,0.13463,0.113796
59,0,1,1,0.462596,0.113796,0.105501,0.158057
60,0,1,1,0.568097,0.113796,0.0520912,0.158057
61,0,1,1,0.620188,0.113796,0.0413763,0.158057
62,0,1,1,0.597226,0,0.0643386,0.113796
